അകലെ	അകലം എ
അമ്മയോളമുള്ള	അമ്മയോളം ഉള്ള
അമ്മയ്ക്കായ	അമ്മക്ക് ആയ
അമ്മയ്ക്കായത്	അമ്മയ്ക്കായ അത്
അമ്മയ്ക്കായി	അമ്മക്ക് ആയി
അമ്മയ്ക്കായുള്ള	അമ്മയ്ക്കായി ഉള്ള
അമ്മയ്ക്കുള്ള	അമ്മയ്ക്ക് ഉള്ള
അവളുടെ	അവൾ ഉടെ
ആണുള്ള	ആണ് ഉള്ള
ആന	ആന -
ആനകളാല്‍	ആനകൾ ആൽ
ആനകളില്‍	ആനകൾ ഇൽ
ആനകളും	ആനകൾ ഉം
ആനകളെ	ആനകൾ എ
ആനകളോട്	ആനകൾ ഓട്
ആനകള്‍	ആന കൾ
ആനകള്‍ക്ക്	ആനകൾ ക്ക്
ആനയല്ല	ആന അല്ല
ആനയാണ്	ആന ആണ്
ആനയായ	ആന ആയ
ആനയില്ല	ആന ഇല്ല
ആനയില്‍	ആന ഇൽ
ആനയും	ആന ഉം
ആനയുടെ	ആന ഉടെ
ആനയുണ്ട്	ആന ഉണ്ട്
ആനയുള്ള	ആന ഉള്ള
ആനയെ	ആന എ
ആനയെക്കൊണ്ട്	ആനയെ കൊണ്ട്
ആനയെന്ന്	ആന എന്ന്
ആനയെല്ലാം	ആന എല്ലാം
ആനയേ	ആന ഏ
ആനയോട്	ആന ഓട്
ആനയ്ക്ക്	ആന ക്ക്
എന്നുള്ള	എന്ന് ഉള്ള
എല്ലാമായ	എല്ലാം ആയ
എല്ലാമുള്ള	എല്ലാം ഉള്ള
കിണറിൽ	കിണർ ഇൽ
കുരങ്ങന്മാർ	കുരങ്ങൻ മാർ
കുഴിആനയ്ക്ക്	കുഴിആന ക്ക്
കൊണ്ടുള്ള	കൊണ്ട് ഉള്ള
കൊണ്ടെന്ന്	കൊണ്ട് എന്ന്
കൊണ്ടെല്ലാം	കൊണ്ട് എല്ലാം
ക്ഷമ	ക്ഷമ -
തട്ടിൽ	തട്ട് ഇൽ
തേനിൽ	തേൻ ഇൽ
ദയ	ദയ -
പപ്പടം	പപ്പടം -
മകനെ	മകൻ എ
മനസോടെ	മനസ് ഓടെ
മനുഷ്യനാൽ	മനുഷ്യൻ ആൽ
മനുഷ്യന്മാർ	മനുഷ്യൻ മാർ
മരം	മരം -
മരങ്ങള്‍	മരം കൾ
മരത്താല്‍	മരം ആൽ
മരത്തിന്	മരം ഇന്
മരത്തിന്റെ	മരം ഇന്റെ
മരത്തില്‍	മരം ഇൽ
മരത്തെ	മരം എ
മരത്തോട്	മരം ഓട്
മരമല്ല	മരം അല്ല
മരമാണ്	മരം ആണ്
മരമായ	മരം ആയ
മരമില്ല	മരം ഇല്ല
മരമുണ്ട്	മരം ഉണ്ട്
മരമുള്ള	മരം ഉള്ള
മരമെന്ന്	മരം എന്ന്
മരമെല്ലാം	മരം എല്ലാം
മരമേ	മരം ഏ
മരവും	മരം ഉം
മരുഭൂമിയിൽ	മരുഭൂമി ഇൽ
മരുമകനെ	മരുമകൻ എ
വണ്ടിയിൽ	വണ്ടി ഇൽ
വിധവമാർ	വിധവ മാർ
വിലങ്ങിൽ	വിലങ്ങ് ഇൽ
വീട്	വീട് -
വീട്ടിലെ	വീട്ടിൽ എ
വീട്ടില്‍	വീട് ഇൽ
